id,nombre,lugar_asoc,direccion,lat,lon
249,Cibeles,,El Salvador 4570,-58.4258,-34.5905
250,Esc. Técnica N° 30 Dr. Norberto Piñero,,Jerónimo Salguero 920,-58.4192,-34.5993
251,USAL Cs de la Educación y la Comunicación,,Callao 835,-58.3928,-34.5993
252,USAL Cs. de la Administración,,Marcelo T. de Alvear 1312,-58.3858,-34.5971
253,USAL Cs. Económicas,,Marcelo T. de Alvear 1335,-58.3862,-34.5968
254,Esc. Técnica N° 21 Fragata Escuela Libertad,,Nuñez 3620,-58.478,-34.5562
255,USAL Diseño,,Rodríguez Peña 670,-58.3916,-34.6011
256,Esc. de Danzas N° 02 Jorge Donn,,Alejandro Magariños Cervantes 5068,-58.5037,-34.6295
257,Inst. Superior de Lenguas Vivas sede y anexo,,Lascano 3810,-58.4956,-34.6129
258,Esc. de Comercio N° 12 Juan XXIII,,Aquino 6040,-58.4803,-34.6775
259,Esc. de Educacion Media N° 05/21° Juan Manuel Fangio,,Gorriti 5091,-58.4319,-34.5887
260,Consejo de la Majistratura,,Av. de Mayo 654,-58.3757,-34.6088
261,Facultad de Ciencias Económicas UBA,,Av. Córdoba y Pres. Uriburu,-58.3986,-34.5999
262,Vero Alfie,,Armenia 1665,-58.4274,-34.5897
263,Pehache,,Gurruchaga 1418,-58.4312,-34.5904
264,UFLO,,Pedernera 272,-58.4626,-34.6324
265,Teatro Gran Rex,,Av. Corrientes 857,-58.3789,-34.6034
266,Plaza Libertad,,Libertad y Marcelo T. de Alvear,-58.3842,-34.5969
267,Teatro Maipo,,Rivadavia 1499,-58.3876,-34.6088
268,Teatro Ópera,,Av. Corrientes 872,-58.379,-34.6037
269,Bonafide,,Av. Corrientes 974,-58.3805,-34.6038
270,UMSA,,Av. Corrientes 1723,-58.3912,-34.6042
271,Café Tes,,Av. Corrientes 1669,-58.3904,-34.6041
272,Teatro de la Ribera,,Don Pedro de Mendoza 1875,-58.3615,-34.6392
273,Teatro Regio,,Av.Córdoba 6056,-58.4458,-34.5843
274,Teatro Sarmiento,,Av.Sarmiento 2715,-58.4196,-34.58
275,QM,,Costa Rica 4700,-58.4273,-34.5882
