linea;desde;hasta;estacion;pasajeros
E;05:30;05:44;General Belgrano;3
E;05:30;05:44;Medalla Milagrosa;2
C;05:30;05:44;Mariano Moreno;5
E;05:30;05:44;Bolivar;2
A;05:30;05:44;Acoyte;6
A;05:30;05:44;Piedras;2
C;05:30;05:44;Retiro;56
E;05:30;05:44;Emilio Mitre;5
D;05:30;05:44;Jose Hernandez;2
H;05:30;05:44;Patricios;3
B;05:30;05:44;Carlos Pellegrini;11
B;05:30;05:44;Rosas;21
D;05:30;05:44;Congreso de Tucuman;14
D;05:30;05:44;Catedral;6
B;05:30;05:44;Carlos Gardel;6
B;05:30;05:44;Florida;4
B;05:30;05:44;Leandro N. Alem;23
A;05:30;05:44;Peru;3
D;05:30;05:44;Tribunales;1
E;05:30;05:44;Pichincha;2
D;05:30;05:44;Ministro Carranza;1
C;05:30;05:44;San Juan;7
B;05:30;05:44;Callao;12
D;05:30;05:44;Scalabrini Ortiz;4
A;05:30;05:44;Primera Junta;7
H;05:30;05:44;Humberto I;1
E;05:30;05:44;Urquiza;8
H;05:30;05:44;Caseros;3
B;05:30;05:44;Medrano;4
D;05:30;05:44;Pueyrredon.;3
B;05:30;05:44;Angel Gallardo;5
A;05:30;05:44;Plaza Miserere;13
A;05:30;05:44;Pasco;4
E;05:30;05:44;Independencia.;3
C;05:30;05:44;Independencia;6
H;05:45;05:59;Humberto I;3
A;05:45;05:59;Alberti;2
D;05:45;05:59;Aguero;5
B;05:45;05:59;Callao;7
C;05:45;05:59;Mariano Moreno;9
E;05:45;05:59;Urquiza;2
B;05:45;05:59;Dorrego;9
A;05:45;05:59;Piedras;1
D;05:45;05:59;Tribunales;2
E;05:45;05:59;Pza. de los Virreyes;17
D;05:45;05:59;Bulnes;7
B;05:45;05:59;Malabia;9
D;05:45;05:59;Scalabrini Ortiz;21
A;05:45;05:59;Puan;1
D;05:45;05:59;Palermo;19
B;05:45;05:59;Angel Gallardo;5
C;05:45;05:59;General San Martin;10
H;05:45;05:59;Caseros;5
H;05:45;05:59;Once;4
A;05:45;05:59;San Pedrito;21
E;05:45;05:59;Avenida La Plata;8
D;05:45;05:59;Catedral;8
B;05:45;05:59;Leandro N. Alem;53
